# UniProt_ID,P59533
# Target_name,T2R38_HUMAN Taste receptor type 2 member 38
# Molecules_screened,1687
# Generated_at,2025-08-21T21:35:03
#
Rank,Drug Name,Target Name,Binding Score
344,hwg,T2R38_HUMAN,1838.48
345,myricetin,T2R38_HUMAN,1838.79
346,monascin,T2R38_HUMAN,1840.31
347,epf,T2R38_HUMAN,1851.13
348,delphinidin,T2R38_HUMAN,1868.52
349,hypericum,T2R38_HUMAN,1873.92
350,hemicellulase,T2R38_HUMAN,1875.30
351,n-methyltyramine hcl,T2R38_HUMAN,1878.82
352,berberine,T2R38_HUMAN,1879.81
353,tetradecylthioacetic acid,T2R38_HUMAN,1881.14
354,chromium gtf,T2R38_HUMAN,1885.95
355,chondroitin sulfate,T2R38_HUMAN,1887.89
356,silychristin,T2R38_HUMAN,1902.34
357,ankaflavin,T2R38_HUMAN,1908.85
358,adenosine 5'-triphosphate disodium,T2R38_HUMAN,1912.37
359,saponin,T2R38_HUMAN,1932.05
360,beta-pinene,T2R38_HUMAN,1933.49
361,glycodeoxycholic acid,T2R38_HUMAN,1949.23
362,cyanidin-3-glucoside,T2R38_HUMAN,1949.85
363,eye,T2R38_HUMAN,1958.12
364,pantethine,T2R38_HUMAN,1973.01
365,6-keto-diosgenin,T2R38_HUMAN,1983.57
366,guar,T2R38_HUMAN,1985.30
367,andrographolide,T2R38_HUMAN,1990.63
368,theophylline,T2R38_HUMAN,2015.51
369,pantotheine,T2R38_HUMAN,2020.19
370,d-delta-tocotrienol,T2R38_HUMAN,2020.34
371,zinc orotate,T2R38_HUMAN,2023.03
372,kaempferide,T2R38_HUMAN,2027.15
373,alpha-pinene,T2R38_HUMAN,2040.19
374,inositol nicotinate,T2R38_HUMAN,2046.95
375,vitamin k2,T2R38_HUMAN,2047.21
376,tryptamine,T2R38_HUMAN,2049.96
377,flavin adenine dinucleotide,T2R38_HUMAN,2061.48
378,higenamine,T2R38_HUMAN,2075.12
379,calcium-magnesium phytate,T2R38_HUMAN,2081.60
380,nordihydrocapsaicin,T2R38_HUMAN,2094.14
381,adenosine triphosphate,T2R38_HUMAN,2094.69
382,l-argininate,T2R38_HUMAN,2103.38
383,safranal,T2R38_HUMAN,2126.97
384,xos,T2R38_HUMAN,2130.84
385,vitamin a palmitate,T2R38_HUMAN,2140.46
386,escin,T2R38_HUMAN,2142.55
387,calcium orotate,T2R38_HUMAN,2147.66
388,folic acid,T2R38_HUMAN,2179.35
389,cyclodextrin,T2R38_HUMAN,2209.81
390,isopropylnorsynephrine,T2R38_HUMAN,2210.72
391,11-keto-beta-boswellic acid,T2R38_HUMAN,2229.89
392,sitostanol,T2R38_HUMAN,2272.92
393,magnesium pidolate,T2R38_HUMAN,2277.92
394,bala,T2R38_HUMAN,2319.39
395,petasin,T2R38_HUMAN,2365.82
396,piceid,T2R38_HUMAN,2383.78
397,neurosyn,T2R38_HUMAN,2390.27
398,vitamin b-6,T2R38_HUMAN,2407.35
399,pseudoprotodioscin,T2R38_HUMAN,2415.28
400,docosahexaenoic acid ethyl ester,T2R38_HUMAN,2432.11
401,astragalosides,T2R38_HUMAN,2448.56
402,oleuropein aglycone,T2R38_HUMAN,2456.55
403,quercetin,T2R38_HUMAN,2471.94
404,ibutamoren,T2R38_HUMAN,2473.21
405,gamma oryzanol,T2R38_HUMAN,2474.02
406,intrinsic factor,T2R38_HUMAN,2478.92
407,asiaticoside,T2R38_HUMAN,2480.70
408,calcium folinate,T2R38_HUMAN,2482.20
409,wintergreen,T2R38_HUMAN,2491.58
410,11-oxo,T2R38_HUMAN,2507.13
411,aucubin,T2R38_HUMAN,2521.39
412,quercetin dihydrate,T2R38_HUMAN,2545.14
413,arginine malate,T2R38_HUMAN,2554.08
414,d-alpha-tocotrienol,T2R38_HUMAN,2560.17
415,tetracosenoic acid,T2R38_HUMAN,2583.44
416,delphinidin-3-rutinoside,T2R38_HUMAN,2596.68
417,triphosphate,T2R38_HUMAN,2600.21
418,diclofenac,T2R38_HUMAN,2604.02
419,malt,T2R38_HUMAN,2608.47
420,ipriflavone,T2R38_HUMAN,2648.64
421,l-methylfolate calcium,T2R38_HUMAN,2654.53
422,methyl protodioscin,T2R38_HUMAN,2654.73
423,taurocholic acid,T2R38_HUMAN,2681.58
424,pepsin,T2R38_HUMAN,2686.48
425,baicalein,T2R38_HUMAN,2690.60
426,parthenium,T2R38_HUMAN,2695.33
427,miliacin,T2R38_HUMAN,2700.69
428,bis picolinato oxo vanadium,T2R38_HUMAN,2717.50
429,l-arginine aspartate,T2R38_HUMAN,2741.04
430,xanthinol nicotinate,T2R38_HUMAN,2750.17
431,norepinephrine,T2R38_HUMAN,2762.73
432,acacetin,T2R38_HUMAN,2778.59
433,magnesium orotate,T2R38_HUMAN,2789.07
434,huperzine a,T2R38_HUMAN,2795.20
435,nicotinoyl-gaba,T2R38_HUMAN,2860.26
436,chitinase,T2R38_HUMAN,2868.29
437,taxifolin,T2R38_HUMAN,2880.49
438,hesperitin,T2R38_HUMAN,2904.82
439,n-phenylethyl dimethylamine citrate,T2R38_HUMAN,2908.30
440,salvianolic acid b,T2R38_HUMAN,2917.45
441,nadh,T2R38_HUMAN,2972.97
442,apigenin,T2R38_HUMAN,2981.20
443,magnesium salicylate,T2R38_HUMAN,3036.12
444,alpha ketoglutaric acid,T2R38_HUMAN,3043.39
445,magnesium ascorbyl phosphate,T2R38_HUMAN,3052.87
446,tanshinone iia,T2R38_HUMAN,3066.29
447,propylparaben,T2R38_HUMAN,3074.63
448,kava,T2R38_HUMAN,3087.86
449,probiotic,T2R38_HUMAN,3114.05
450,gamma cyclodextrin,T2R38_HUMAN,3151.65
451,cetyl caprate,T2R38_HUMAN,3170.08
452,gamma-terpinene,T2R38_HUMAN,3187.68
453,taurochenodeoxycholic acid,T2R38_HUMAN,3187.90
454,ec,T2R38_HUMAN,3195.11
455,zinc picolinate,T2R38_HUMAN,3200.10
456,emodin,T2R38_HUMAN,3209.04
457,fd&c red 40,T2R38_HUMAN,3227.01
458,aurantium,T2R38_HUMAN,3281.14
459,uridine 5'-monophosphate disodium salt,T2R38_HUMAN,3289.82
460,ligustilide,T2R38_HUMAN,3292.02
461,dim,T2R38_HUMAN,3297.01
462,guaiol,T2R38_HUMAN,3301.44
463,petunidin,T2R38_HUMAN,3326.41
464,sodium lauryl sulfate,T2R38_HUMAN,3326.58
465,malvidin,T2R38_HUMAN,3341.90
466,monosodium l-glutamate,T2R38_HUMAN,3389.02
467,3-acetyl-11-keto-beta-boswellic acid,T2R38_HUMAN,3402.44
468,divanil,T2R38_HUMAN,3454.80
469,indigo,T2R38_HUMAN,3455.53
470,potassium fumarate,T2R38_HUMAN,3455.82
471,tauroxicum,T2R38_HUMAN,3472.31
472,taurodeoxycholic acid,T2R38_HUMAN,3476.88
473,n-methyl-beta-phenylethylamine,T2R38_HUMAN,3522.92
474,n-acetyl-cysteine,T2R38_HUMAN,3571.47
